diacritical_marks_vietnamese,no_accents_mark_vietnamese
Lần cuối bạn ăn một quả lựu là khi nào?,Lan cuoi ban an mot qua luu la khi nao?
Lần cuối mà bạn ăn một quả lựu là khi nào?,Lan cuoi ma ban an mot qua luu la khi nao?
Đâu là bức vẽ ưng ý nhất của ấy?,Dau la buc ve ung y nhat cua ay?
Bạn có muốn thưởng thức trà với chúng tôi chiều nay không?,Ban co muon thuong thuc tra voi chung toi chieu nay khong?
"Lúc đó, bạn thực ra không muốn đi Boston có đúng không?","Luc do, ban thuc ra khong muon di Boston co dung khong?"
Bạn phải biết là lâu lâu nó sẽ xảy ra một lần.,Ban phai biet la lau lau no se xay ra mot lan.
Bạn phải biết là việc đó thỉnh thoảng vẫn xảy ra.,Ban phai biet la viec do thinh thoang van xay ra.
Lúc còn trẻ thì bạn nên đọc nhiều sách vào.,Luc con tre thi ban nen doc nhieu sach vao.
Bạn nên đội một cái mũ bảo hiểm khi đi xe máy.,Ban nen doi mot cai mu bao hiem khi di xe may.
Khi đi xe máy bạn nên đội một cái mũ bảo hiểm.,Khi di xe may ban nen doi mot cai mu bao hiem.
"Ngay sau khi tôi làm xong việc đó, tôi sẽ giúp bạn.","Ngay sau khi toi lam xong viec do, toi se giup ban."
Có thật là anh muốn tôi đưa máy tính của anh cho Tom không vậy?,Co that la anh muon toi dua may tinh cua anh cho Tom khong vay?
Thu nhập của anh ấy đã tăng gấp đôi so với 10 năm trước.,Thu nhap cua anh ay da tang gap doi so voi 10 nam truoc.
Chuyện của nó tào lao đến nỗi chẳng ai tin được.,Chuyen cua no tao lao den noi chang ai tin duoc.
"Tao đoán là mày nghĩ mày quan trọng, có đúng không?","Tao doan la may nghi may quan trong, co dung khong?"
"Tao đoán là mày nghĩ mày quan trọng, có phải không?","Tao doan la may nghi may quan trong, co phai khong?"
"Tao đoán là mày nghĩ mày ngon, đúng không?","Tao doan la may nghi may ngon, dung khong?"
Tôi tra số điện thoại của anh ta trong cuốn danh bạ điện thoại.,Toi tra so dien thoai cua anh ta trong cuon danh ba dien thoai.
Tôi muốn một chiếc thuyền sẽ đưa tôi đi xa khỏi nơi đây.,Toi muon mot chiec thuyen se dua toi di xa khoi noi day.
Tôi muốn mua một cái flycam nhưng bố mẹ không cho tôi mua.,Toi muon mua mot cai flycam nhung bo me khong cho toi mua.
Tôi ước là tôi có thể thôi nghĩ về chuyện đã xảy ra.,Toi uoc la toi co the thoi nghi ve chuyen da xay ra.
Ước gì tôi có thể quên đi những chuyện đã qua.,Uoc gi toi co the quen di nhung chuyen da qua.
"Nếu tôi biết địa chỉ của Tom, thì tôi đã có thể đến thăm anh ấy rồi.","Neu toi biet dia chi cua Tom, thi toi da co the den tham anh ay roi."
Bạn thật tốt khi giúp tôi làm bài tập về nhà.,Ban that tot khi giup toi lam bai tap ve nha.
Sẽ mất 3 tháng cho tới lúc căn nhà hoàn thiện.,Se mat 3 thang cho toi luc can nha hoan thien.
Đó là một trong những thành phố đẹp nhất thế giới.,Do la mot trong nhung thanh pho dep nhat the gioi.
"Muốn tôi làm gì thì anh cứ nói, tôi sẽ làm cho.","Muon toi lam gi thi anh cu noi, toi se lam cho."
Mary bước ra khỏi nhà tắm chỉ với khăn tắm trên người.,Mary buoc ra khoi nha tam chi voi khan tam tren nguoi.
Ngày trước bố tôi từng hay nói tiền không phải là tất cả.,Ngay truoc bo toi tung hay noi tien khong phai la tat ca.
Bà của tôi vẫn còn rất hoạt bát ở tuổi 85.,Ba cua toi van con rat hoat bat o tuoi 85.
"Mỗi buổi sáng, mẹ tôi là người dậy sớm nhất.","Moi buoi sang, me toi la nguoi day som nhat."
Cảnh sát đang điều tra nguyên nhân của vụ tai nạn.,Canh sat dang dieu tra nguyen nhan cua vu tai nan.
Có lẽ tuần sau công ty sẽ đóng cửa.,Co le tuan sau cong ty se dong cua.
"Cô ấy không muốn đi, nhưng bố cô ấy bắt cô ấy phải đi.","Co ay khong muon di, nhung bo co ay bat co ay phai di."
"Cô ấy không muốn đi, nhưng bố cô ấy đã bắt cô ấy phải đi.","Co ay khong muon di, nhung bo co ay da bat co ay phai di."
Nó cảm thấy mệt lử sau khi cãi nhau với bạn.,No cam thay met lu sau khi cai nhau voi ban.
"Giả sử bạn có 10 triệu yên, bạn sẽ làm gì?","Gia su ban co 10 trieu yen, ban se lam gi?"
"Cây gậy bị mất ngày hôm qua, cùng với những quả bóng.","Cay gay bi mat ngay hom qua, cung voi nhung qua bong."
Khát vọng nhiều năm của anh ấy đã được đáp ứng.,Khat vong nhieu nam cua anh ay da duoc dap ung.
Sai lầm nhỏ nhất có thể dẫn đến một thảm họa chí mạng.,Sai lam nho nhat co the dan den mot tham hoa chi mang.
Trên thế giới có gần 7 tỷ người.,Tren the gioi co gan 7 ty nguoi.
Trên thế giới có gần bảy tỷ người.,Tren the gioi co gan bay ty nguoi.
Tớ sẽ tới thư viện học bài vào ngày mai.,To se toi thu vien hoc bai vao ngay mai.
Tớ sẽ tới thư viện tầm này vào ngày mai để học bài.,To se toi thu vien tam nay vao ngay mai de hoc bai.
Tom và tôi có nhiều điểm chung hơn là tôi nghĩ.,Tom va toi co nhieu diem chung hon la toi nghi.
Tom và Mary đã cùng nhau bàn về kế hoạch tương lai của họ.,Tom va Mary da cung nhau ban ve ke hoach tuong lai cua ho.
Tom đã cẩn thận lau sạch dấu vân tay của mình trên con dao.,Tom da can than lau sach dau van tay cua minh tren con dao.
Tôm đã dậy sớm để bắt chuyến tàu đầu tiên.,Tom da day som de bat chuyen tau dau tien.
Anh ấy đã và đang làm việc với tư cách là một giáo viên trong 30 năm.,Anh ay da va dang lam viec voi tu cach la mot giao vien trong 30 nam.
Hôm nay Tom trông thân thiện hơn hẳn thường ngày.,Hom nay Tom trong than thien hon han thuong ngay.
Tom nói là cậu ấy không hề biết gì về vụ cướp.,Tom noi la cau ay khong he biet gi ve vu cuop.
Tom nói anh ta không ăn gì ngoài hoa quả và rau củ.,Tom noi anh ta khong an gi ngoai hoa qua va rau cu.
Tom có vẻ rất ngạc nhiên khi tôi kể cho anh ta chuyện đó.,Tom co ve rat ngac nhien khi toi ke cho anh ta chuyen do.
Tom phết mứt dâu vào một lát bánh mì.,Tom phet mut dau vao mot lat banh mi.
Tom phết một ít mứt dâu vào một lát bánh mỳ.,Tom phet mot it mut dau vao mot lat banh my.
Tom nói là có người muốn gặp tôi.,Tom noi la co nguoi muon gap toi.
Tom ngồi một mình trong bóng tối đợi Mary.,Tom ngoi mot minh trong bong toi doi Mary.
Tom ngồi một mình đợi Mary trong bóng tối.,Tom ngoi mot minh doi Mary trong bong toi.
Tom là người đã nói với tôi là Mary không nên làm việc đó.,Tom la nguoi da noi voi toi la Mary khong nen lam viec do.
Chúng tôi chắc sẽ phải ở Úc vài tuần.,Chung toi chac se phai o Uc vai tuan.
"Chúng tôi đã từng có vài chiếc máy bay, nhưng chúng tôi đã phải bán chúng đi.","Chung toi da tung co vai chiec may bay, nhung chung toi da phai ban chung di."
Vì gặp cơn mưa rào nên tôi đã bị ướt như chuột lột.,Vi gap con mua rao nen toi da bi uot nhu chuot lot.
Vì cơn mưa rào nên tôi đã bị ướt như chuột lột.,Vi con mua rao nen toi da bi uot nhu chuot lot.
Ngôi làng và thị trấn khác nhau chỗ nào?,Ngoi lang va thi tran khac nhau cho nao?
Sự khác biệt giữa làng và thị trấn là gì.,Su khac biet giua lang va thi tran la gi.
Tại sao bạn nghĩ Tom thích sống ở vùng đồng quê ?,Tai sao ban nghi Tom thich song o vung dong que ?
"Với sự giúp đỡ của cô ấy, tiếng Pháp của tôi được cải thiện từng chút từng chút một.","Voi su giup do cua co ay, tieng Phap cua toi duoc cai thien tung chut tung chut mot."
"Bạn có anh chị em nào không? ""Không, tôi là con một.""","Ban co anh chi em nao khong? ""Khong, toi la con mot."""
"Năm 17 tuổi, anh ấy chạy trốn khỏi ngôi làng mà anh ấy được sinh ra.","Nam 17 tuoi, anh ay chay tron khoi ngoi lang ma anh ay duoc sinh ra."
Rất quan tâm đến sức khỏe nên anh ấy hiếm khi bị ốm.,Rat quan tam den suc khoe nen anh ay hiem khi bi om.
Đừng bận tâm làm gì. Tom cũng có tặng quà cho tôi đâu.,Dung ban tam lam gi. Tom cung co tang qua cho toi dau.
Tôi cho chó của mình ăn thức ăn khô dành cho chó trong suốt 10 năm qua.,Toi cho cho cua minh an thuc an kho danh cho cho trong suot 10 nam qua.
Người ta bảo khi còn trẻ ông ta rất nghèo.,Nguoi ta bao khi con tre ong ta rat ngheo.
Anh ta dừng lại để đọc diễn văn ở các thành phố dọc đường.,Anh ta dung lai de doc dien van o cac thanh pho doc duong.
Tôi không có thời gian để làm tất cả những điều tôi muốn.,Toi khong co thoi gian de lam tat ca nhung dieu toi muon.
Tôi không có thời gian để làm tất cả những điều mà tôi muốn.,Toi khong co thoi gian de lam tat ca nhung dieu ma toi muon.
"Tôi không nói tiếng Pháp, nhưng tôi có thể hiểu được một chút.","Toi khong noi tieng Phap, nhung toi co the hieu duoc mot chut."
Tôi mới chỉ đi bộ được khoảng một cây rưỡi thì trời bắt đầu có sấm sét.,Toi moi chi di bo duoc khoang mot cay ruoi thi troi bat dau co sam set.
Tôi mới chỉ đi bộ được khoảng một dặm thì trời bắt đầu có sấm sét.,Toi moi chi di bo duoc khoang mot dam thi troi bat dau co sam set.
Tôi ngồi dưới bóng râm và đọc sách.,Toi ngoi duoi bong ram va doc sach.
Tôi nghĩ là tôi vẫn còn thời gian cho một ly cà phê nữa.,Toi nghi la toi van con thoi gian cho mot ly ca phe nua.
Tôi nghĩ là Tom có thể sửa máy tính của bạn.,Toi nghi la Tom co the sua may tinh cua ban.
Xin lỗi nhưng tôi không thể cho bạn mượn ô tô của tôi vào cuối tuần sau.,Xin loi nhung toi khong the cho ban muon o to cua toi vao cuoi tuan sau.
Bắt thỏ rừng bằng tay thì khó.,Bat tho rung bang tay thi kho.
Nhật Bản là đầu mối nhập khẩu lớn nhất của sản phẩm nông nghiệp của Hoa Kỳ.,Nhat Ban la dau moi nhap khau lon nhat cua san pham nong nghiep cua Hoa Ky.
Mary vừa xinh hơn lại đạt điểm cao hơn Alice.,Mary vua xinh hon lai dat diem cao hon Alice.
"Thiền định không tốn kém gì cả, nhưng phải mất thời gian.","Thien dinh khong ton kem gi ca, nhung phai mat thoi gian."
Vì sĩ diện tôi không thể vay tiền của anh ta.,Vi si dien toi khong the vay tien cua anh ta.
Không ai trong số họ hiểu cô ấy vừa ám chỉ điều gì.,Khong ai trong so ho hieu co ay vua am chi dieu gi.
Không ai trong số họ hiểu được là cô ấy đã ám chỉ điều gì.,Khong ai trong so ho hieu duoc la co ay da am chi dieu gi.
"Hầu như tình cờ, tôi gặp bạn cũ của tôi tại sân bay.","Hau nhu tinh co, toi gap ban cu cua toi tai san bay."
Cô ta dành một phần ba đời mình để làm công việc giấy tờ.,Co ta danh mot phan ba doi minh de lam cong viec giay to.
Cô ta là người cuối cùng mà tôi muốn gặp vào ngày hôm đó.,Co ta la nguoi cuoi cung ma toi muon gap vao ngay hom do.
Hóa ra cậu bé bẩn thỉu đó là một hoàng tử đang cải trang.,Hoa ra cau be ban thiu do la mot hoang tu dang cai trang.
Cậu bé bẩn thỉu đó hóa ra là một hoàng tử đang cải trang.,Cau be ban thiu do hoa ra la mot hoang tu dang cai trang.
Cậu bé bẩn thỉu đó hóa ra lại là một hoàng tử đang cải trang.,Cau be ban thiu do hoa ra lai la mot hoang tu dang cai trang.
Vùng lân cận xung quanh nhà anh ấy chẳng có cái bệnh viện nào.,Vung lan can xung quanh nha anh ay chang co cai benh vien nao.
Họ đồng ý xem xét nguyên nhân của vụ tai nạn.,Ho dong y xem xet nguyen nhan cua vu tai nan.
Đây là một trong những bộ phim tệ nhất mà tôi từng xem.,Day la mot trong nhung bo phim te nhat ma toi tung xem.
"Tom và Mary chiêm ngưỡng phong cảnh, tay trong tay.","Tom va Mary chiem nguong phong canh, tay trong tay."
Trong 3 năm Tom đã sống trong căn nhà ngay cạnh chúng tôi.,Trong 3 nam Tom da song trong can nha ngay canh chung toi.
Tom nói là anh ấy có cảm giác mình đã quên một điều gì đó.,Tom noi la anh ay co cam giac minh da quen mot dieu gi do.
Tom nói rằng hôm qua Mary không muốn làm điều đó.,Tom noi rang hom qua Mary khong muon lam dieu do.
Tom nói là anh ấy có cảm giác mình đã quên một điều gì đó.,Tom noi la anh ay co cam giac minh da quen mot dieu gi do.
Tom nói với Mary rằng anh ấy không nghĩ là John đã cảm thấy phiền.,Tom noi voi Mary rang anh ay khong nghi la John da cam thay phien.
Mơ ước của Tom là đi du lịch vòng quanh thế giới với Mary.,Mo uoc cua Tom la di du lich vong quanh the gioi voi Mary.
Ông Tom là một người đã từng sống sót trong trại tập trung.,Ong Tom la mot nguoi da tung song sot trong trai tap trung.
Đã hai tuần rồi mà chưa có một giọt mưa nào.,Da hai tuan roi ma chua co mot giot mua nao.
Khi bắt tay ai không được nắm chặt quá.,Khi bat tay ai khong duoc nam chat qua.
"Bạn biết Tom không phải là người làm điều đó, có đúng không?","Ban biet Tom khong phai la nguoi lam dieu do, co dung khong?"
Bạn không được đậu xe ở đây mà không có sự cho phép.,Ban khong duoc dau xe o day ma khong co su cho phep.
Một số quốc gia có hệ thống luật pháp nghiêm khắc chống lại thuốc phiện.,Mot so quoc gia co he thong luat phap nghiem khac chong lai thuoc phien.
"Ngay sau khi ăn tối xong, anh ấy đã bắt đầu đọc cuốn tiểu thuyết đó.","Ngay sau khi an toi xong, anh ay da bat dau doc cuon tieu thuyet do."
"Sau khi ăn tối xong, anh ấy đã bắt đầu đọc cuốn tiểu thuyết đó.","Sau khi an toi xong, anh ay da bat dau doc cuon tieu thuyet do."
"Sau khi đi một tiếng đồng hồ, chúng tôi dừng lại nghỉ ngơi.","Sau khi di mot tieng dong ho, chung toi dung lai nghi ngoi."
Bạn có chắc là bạn không muốn tôi đợi ở đây cùng với Tom?,Ban co chac la ban khong muon toi doi o day cung voi Tom?
Anh ta hít một hơi thật sâu trước khi bước vào phòng của sếp.,Anh ta hit mot hoi that sau truoc khi buoc vao phong cua sep.
Anh ấy đã rất lo lắng về việc sẽ phải dành thời gian Giáng Sinh ở bệnh viện.,Anh ay da rat lo lang ve viec se phai danh thoi gian Giang Sinh o benh vien.
"Mặc dù mắt anh ấy không thể nhìn thấy được, anh ấy đã quyết tâm đi chạy bộ.","Mac du mat anh ay khong the nhin thay duoc, anh ay da quyet tam di chay bo."
Tôi không thể diễn tả bằng lời rằng tôi biết ơn sự giúp đỡ của bạn như thế nào.,Toi khong the dien ta bang loi rang toi biet on su giup do cua ban nhu the nao.
Tôi không thể diễn tả bằng lời rằng tôi biết ơn sự giúp đỡ của bạn đến nhường nào.,Toi khong the dien ta bang loi rang toi biet on su giup do cua ban den nhuong nao.
Tôi cảm thấy rằng bạn đang muốn nói gì đó với tôi.,Toi cam thay rang ban dang muon noi gi do voi toi.
Tôi chỉ ghé qua để cho bạn biết là tôi sẽ dọn đi Boston.,Toi chi ghe qua de cho ban biet la toi se don di Boston.
Tôi phải tính xem tuần sau tôi sẽ dùng bao nhiêu tiền.,Toi phai tinh xem tuan sau toi se dung bao nhieu tien.
Tui phải tính xem tuần sau tui sẽ xài bao nhiêu tiền.,Tui phai tinh xem tuan sau tui se xai bao nhieu tien.
Mình không thể nói tiếng Pháp tốt như mình muốn.,Minh khong the noi tieng Phap tot nhu minh muon.
Anh tưởng Tom sẽ ghé qua để kiểm tra tiến độ công việc của bọn mình.,Anh tuong Tom se ghe qua de kiem tra tien do cong viec cua bon minh.
Tôi phải tới trường sớm sáng mai.,Toi phai toi truong som sang mai.
"Nếu tôi biết tên và địa chỉ của cô ấy, tôi sẽ viết thư cho cô ấy.","Neu toi biet ten va dia chi cua co ay, toi se viet thu cho co ay."
"Nếu bạn cư xử như trẻ con, bạn sẽ bị đối xử như trẻ con.","Neu ban cu xu nhu tre con, ban se bi doi xu nhu tre con."
"Nếu bạn hành xử như trẻ con, bạn sẽ bị đối xử như trẻ con.","Neu ban hanh xu nhu tre con, ban se bi doi xu nhu tre con."
Người ta nói bố anh ấy đã mất ở nước ngoài.,Nguoi ta noi bo anh ay da mat o nuoc ngoai.
Người ta nói cha ông ấy mất ở nước ngoài.,Nguoi ta noi cha ong ay mat o nuoc ngoai.
Vì mới bước sang đầu xuân năm mới nên không có nhiều khách lắm.,Vi moi buoc sang dau xuan nam moi nen khong co nhieu khach lam.
Một thời gian đã trôi qua kể từ khi chúng ta đi bơi cùng nhau.,Mot thoi gian da troi qua ke tu khi chung ta di boi cung nhau.
Nhật Bản đã có những thay đổi đáng kể trong 50 năm qua.,Nhat Ban da co nhung thay doi dang ke trong 50 nam qua.
Nhật Bản đã thay đổi đáng kể trong 50 năm qua.,Nhat Ban da thay doi dang ke trong 50 nam qua.
Bố tôi không cho phép tôi đi xem phim một mình.,Bo toi khong cho phep toi di xem phim mot minh.
Mẹ tôi mua cho em trai tôi một cái dù màu vàng.,Me toi mua cho em trai toi mot cai du mau vang.
Tin về cái chết của cậu ta đã không được thông báo trong vài tuần.,Tin ve cai chet cua cau ta da khong duoc thong bao trong vai tuan.
Cô ta thực hành tiếng Anh để kiếm một công việc tốt hơn.,Co ta thuc hanh tieng Anh de kiem mot cong viec tot hon.
Vài sinh viên nhìn cô với đôi mắt mọng nước.,Vai sinh vien nhin co voi doi mat mong nuoc.
Mấy ngày vừa qua là những ngày rất bận rộn cho cả hai chúng tôi.,May ngay vua qua la nhung ngay rat ban ron cho ca hai chung toi.
Bọn trộm trốn thoát với tất cả số tiền trong két.,Bon trom tron thoat voi tat ca so tien trong ket.
Vũ trụ được hình thành từ hơn 12 tỉ năm về trước.,Vu tru duoc hinh thanh tu hon 12 ti nam ve truoc.
Đây không phải là lần đầu tiên tôi đi xe đạp.,Day khong phai la lan dau tien toi di xe dap.
Đây không phải là lần đầu tiên mà tôi đi xe đạp.,Day khong phai la lan dau tien ma toi di xe dap.
Đây không phải là lần đầu tôi đi xe đạp.,Day khong phai la lan dau toi di xe dap.
Tom và Mary đã cưới nhau được khoảng ba năm.,Tom va Mary da cuoi nhau duoc khoang ba nam.
Tom đã quyết định từ bỏ chơi ghita chuyên nghiệp.,Tom da quyet dinh tu bo choi ghita chuyen nghiep.
Tom mong rằng sẽ không phải ăn đồ thừa tối vào tối nay nữa.,Tom mong rang se khong phai an do thua toi vao toi nay nua.
Tom cực kỳ ngạc nhiên khi tớ nói với anh ấy Mary mua cái gì.,Tom cuc ky ngac nhien khi to noi voi anh ay Mary mua cai gi.
Tom ước rằng mình có thể chơi tennis giỏi như Mary.,Tom uoc rang minh co the choi tennis gioi nhu Mary.
Tom làm việc với bản báo cáo từ sáng đến giờ.,Tom lam viec voi ban bao cao tu sang den gio.
Bố mẹ Tom bảo Tom đừng dính líu gì tới Mary.,Bo me Tom bao Tom dung dinh liu gi toi Mary.
Chúng tôi luôn đi bộ ngang qua bưu điện trên đường đi làm,Chung toi luon di bo ngang qua buu dien tren duong di lam
Chúng tôi chèo lên cao để có được tầm nhìn đẹp hơn.,Chung toi cheo len cao de co duoc tam nhin dep hon.
Cá voi là một loài động vật có vú khổng lồ sống ở biển.,Ca voi la mot loai dong vat co vu khong lo song o bien.
Cá voi là một loài động vật có vú khổng lồ sống ở đại dương.,Ca voi la mot loai dong vat co vu khong lo song o dai duong.
Hễ tôi kiếm được cái gì tôi thích thì nó lại đắt quá.,He toi kiem duoc cai gi toi thich thi no lai dat qua.
"Tôi biết rồi, không cần bạn chỉ đâu.","Toi biet roi, khong can ban chi dau."
Đã có một trăm năm mươi nhà ngoại giao đã tới tham dự hội nghị đó.,Da co mot tram nam muoi nha ngoai giao da toi tham du hoi nghi do.
"Tôi nói bạn học tiếng Tây Ban Nha, có đúng không?","Toi noi ban hoc tieng Tay Ban Nha, co dung khong?"
Nó được thả ra khỏi tù ngay sau chiến tranh.,No duoc tha ra khoi tu ngay sau chien tranh.
Tôi không thể nhớ mật khẩu đã dùng cho trang web này.,Toi khong the nho mat khau da dung cho trang web nay.
Tôi đã không biết mình là con nuôi cho đến khi 13 tuổi.,Toi da khong biet minh la con nuoi cho den khi 13 tuoi.
Tôi không nghĩ là tôi sẽ có thể làm lại điều đó thêm lần nữa.,Toi khong nghi la toi se co the lam lai dieu do them lan nua.
Tôi không nghĩ là Tom biết Mary định làm gì.,Toi khong nghi la Tom biet Mary dinh lam gi.
Tôi không cho là Tom biết Mary đang định làm cái gì.,Toi khong cho la Tom biet Mary dang dinh lam cai gi.
Tôi không nghĩ là Tom biết bưu điện ở đâu.,Toi khong nghi la Tom biet buu dien o dau.
Tôi không chắc Tom biết bưu điện ở đâu đâu.,Toi khong chac Tom biet buu dien o dau dau.
Tôi biết là Tom không giỏi chơi sáo lắm.,Toi biet la Tom khong gioi choi sao lam.
Tôi biết Tom chơi sáo không giỏi lắm.,Toi biet Tom choi sao khong gioi lam.
Tôi muốn bạn biết rằng bạn không có gì phải sợ.,Toi muon ban biet rang ban khong co gi phai so.
Tôi muốn đi Áo để học âm nhạc.,Toi muon di Ao de hoc am nhac.
"Trong thành phố của tôi, chẳng có trường nào dạy Quốc tế ngữ.","Trong thanh pho cua toi, chang co truong nao day Quoc te ngu."
"Trong thành phố của tao, chẳng có trường nào dạy Quốc tế ngữ.","Trong thanh pho cua tao, chang co truong nao day Quoc te ngu."
"Trong thành phố của tôi, chẳng có trường nào để học Quốc tế ngữ.","Trong thanh pho cua toi, chang co truong nao de hoc Quoc te ngu."
Tôi không thể làm xong công việc đó trong một giờ.,Toi khong the lam xong cong viec do trong mot gio.
Tôi không thể làm xong công việc đó trong một tiếng.,Toi khong the lam xong cong viec do trong mot tieng.
Tôi không thể hoàn thành được công việc đó trong một tiếng.,Toi khong the hoan thanh duoc cong viec do trong mot tieng.
Thật đáng tiếc chẳng ai ra ga đón bạn cả.,That dang tiec chang ai ra ga don ban ca.
Rất là khó để thành thạo tiếng Pháp trong hai hay ba năm.,Rat la kho de thanh thao tieng Phap trong hai hay ba nam.
Việc tập thể dục điều độ sẽ làm kích thích tuần hoàn máu.,Viec tap the duc dieu do se lam kich thich tuan hoan mau.
Việc tập thể dục điều độ giúp làm kích thích tuần hoàn máu.,Viec tap the duc dieu do giup lam kich thich tuan hoan mau.
Cha tôi sẽ trở lại vào đầu tháng tới.,Cha toi se tro lai vao dau thang toi.
Đầu tháng sau bố tôi sẽ về.,Dau thang sau bo toi se ve.
"Cô ấy đang trồng nhiều loại hoa như là hoa tulip, hoa păng xê và hoa cúc anh.","Co ay dang trong nhieu loai hoa nhu la hoa tulip, hoa pang xe va hoa cuc anh."
Chàng trai đó đã nhuộm tóc vì muốn được chú ý.,Chang trai do da nhuom toc vi muon duoc chu y.
Cậu bé đó đã nhuộm tóc vì muốn được chú ý.,Cau be do da nhuom toc vi muon duoc chu y.
Trận lụt là thảm họa tồi tệ nhất mà họ từng trải qua.,Tran lut la tham hoa toi te nhat ma ho tung trai qua.
Người đứng ở kia là chủ quán.,Nguoi dung o kia la chu quan.
Người đứng ở kia là chủ tiệm.,Nguoi dung o kia la chu tiem.
Lối duy nhất dẫn vào trang trại là băng qua các cánh đồng.,Loi duy nhat dan vao trang trai la bang qua cac canh dong.
Tôi chỉ có thể ăn yến mạch khi ăn kèm với nhiều đường.,Toi chi co the an yen mach khi an kem voi nhieu duong.
Dân số Nhật Bản nhiều hơn dân số Canada.,Dan so Nhat Ban nhieu hon dan so Canada.
Hoàng tử đã bị nhốt trong tòa lâu đài đó 3 năm.,Hoang tu da bi nhot trong toa lau dai do 3 nam.
Họ đã quyết định là nên xuất phát ngay.,Ho da quyet dinh la nen xuat phat ngay.
Cuốn sách lịch sử này được viết cho học sinh cấp ba.,Cuon sach lich su nay duoc viet cho hoc sinh cap ba.
Tom đã không thể tin được là không một ai cười khi nghe những câu nói đùa của mình.,Tom da khong the tin duoc la khong mot ai cuoi khi nghe nhung cau noi dua cua minh.
Tom đã không thể tin được là không một ai cười khi nghe những câu nói đùa của mình.,Tom da khong the tin duoc la khong mot ai cuoi khi nghe nhung cau noi dua cua minh.
Tom là ca sĩ xuất chúng nhất trong câu lạc bộ này.,Tom la ca si xuat chung nhat trong cau lac bo nay.
"Trong câu lạc bộ này, Tom là ca sỹ xuất chúng nhất.","Trong cau lac bo nay, Tom la ca sy xuat chung nhat."
Trong câu lạc bộ này thì Tom là ca sỹ xuất chúng nhất.,Trong cau lac bo nay thi Tom la ca sy xuat chung nhat.
Tom là nhân chứng duy nhất. Không có nhân chứng nào khác.,Tom la nhan chung duy nhat. Khong co nhan chung nao khac.
Tom dội nước vào người để tỉnh ngủ.,Tom doi nuoc vao nguoi de tinh ngu.
Tom đã dội nước vào người để tỉnh ngủ.,Tom da doi nuoc vao nguoi de tinh ngu.
Tom nói ông ta có thể giao tiếp với người chết.,Tom noi ong ta co the giao tiep voi nguoi chet.
Tom nổi giận với Mary vì không gọi điện nói là sẽ đến muộn.,Tom noi gian voi Mary vi khong goi dien noi la se den muon.
Tom nổi cáu với Mary vì không gọi điện nói là sẽ đến muộn.,Tom noi cau voi Mary vi khong goi dien noi la se den muon.
Tom bảo Mary nên từ bỏ các chứng cứ đi.,Tom bao Mary nen tu bo cac chung cu di.
Chúng tôi không thể chơi ở bên ngoài do nắng nóng gay gắt.,Chung toi khong the choi o ben ngoai do nang nong gay gat.
Chúng tôi đã không thể chơi ở bên ngoài do nắng nóng gay gắt.,Chung toi da khong the choi o ben ngoai do nang nong gay gat.
Chúng tôi đã không thể chơi ở bên ngoài do trời nóng gay gắt.,Chung toi da khong the choi o ben ngoai do troi nong gay gat.
Điểm khác biệt giữa tôn giáo và triết học là gì?,Diem khac biet giua ton giao va triet hoc la gi?
Bạn có thể giúp tôi mở cửa sổ để phòng này bớt bí hơn được không?,Ban co the giup toi mo cua so de phong nay bot bi hon duoc khong?
Bạn thích uống cà-phê hay uống trà?,Ban thich uong ca-phe hay uong tra?
Cậu có khi biết nhiều về tớ hơn là tớ biết về cậu.,Cau co khi biet nhieu ve to hon la to biet ve cau.
Bạn cần phải học thuộc lòng nhiều từ tiếng Anh nhất có thể.,Ban can phai hoc thuoc long nhieu tu tieng Anh nhat co the.
Bạn cần phải học thuộc lòng càng nhiều từ tiếng Anh càng tốt.,Ban can phai hoc thuoc long cang nhieu tu tieng Anh cang tot.
Rất nhiều người nói Tom là cầu thủ giỏi nhất trong đội chúng tôi.,Rat nhieu nguoi noi Tom la cau thu gioi nhat trong doi chung toi.
Có nhiều người nói Tom là cầu thủ giỏi nhất trong đội chúng tôi.,Co nhieu nguoi noi Tom la cau thu gioi nhat trong doi chung toi.
"Theo dự báo thời tiết, mai sẽ có tuyết.","Theo du bao thoi tiet, mai se co tuyet."
Chức năng quan trọng của cảnh sát là bắt bọn trộm.,Chuc nang quan trong cua canh sat la bat bon trom.
Chức năng quan trọng của công an là bắt ăn trộm.,Chuc nang quan trong cua cong an la bat an trom.
Anh ấy có thói quen vừa ăn vừa đọc báo.,Anh ay co thoi quen vua an vua doc bao.
Anh ấy có thói quen vừa ăn vừa đọc báo.,Anh ay co thoi quen vua an vua doc bao.
Anh ta ngồi xuống ghế bành để nghe nhạc.,Anh ta ngoi xuong ghe banh de nghe nhac.
"Tôi không thể tìm được một công việc ở Úc, thế nên tôi đã quay trở về nhà.","Toi khong the tim duoc mot cong viec o Uc, the nen toi da quay tro ve nha."
Tôi không biết Tom ở đâu và tôi cũng không muốn hỏi anh ấy.,Toi khong biet Tom o dau va toi cung khong muon hoi anh ay.
Tôi đã phải học tập chăm chỉ để theo kịp các bạn học sinh khác.,Toi da phai hoc tap cham chi de theo kip cac ban hoc sinh khac.
